RMSE,MAE,R2,N,scenario_key,scenario_name,layer,model,step,step_min
968.14,695.16,0.8072,1743,M1_300m,M1: LiDAR 300m+SCADA+历史功率,1,LightGBM,6,60
956.76,684.64,0.8117,1743,M1_300m,M1: LiDAR 300m+SCADA+历史功率,1,XGBoost,6,60
450.82,295.77,0.958,1743,M2_near,M2: 近距(40-120m)+SCADA+历史功率,1,LightGBM,1,10
437.36,285.73,0.9605,1743,M2_near,M2: 近距(40-120m)+SCADA+历史功率,1,XGBoost,1,10
633.12,423.41,0.9173,1743,M2_near,M2: 近距(40-120m)+SCADA+历史功率,1,LightGBM,2,20
627.72,418.2,0.9187,1743,M2_near,M2: 近距(40-120m)+SCADA+历史功率,1,XGBoost,2,20
759.01,518.24,0.8813,1743,M2_near,M2: 近距(40-120m)+SCADA+历史功率,1,LightGBM,3,30
757.25,517.27,0.8818,1743,M2_near,M2: 近距(40-120m)+SCADA+历史功率,1,XGBoost,3,30
979.28,695.65,0.8028,1743,M2_near,M2: 近距(40-120m)+SCADA+历史功率,1,LightGBM,6,60
969.96,695.25,0.8065,1743,M2_near,M2: 近距(40-120m)+SCADA+历史功率,1,XGBoost,6,60
444.03,290.44,0.9593,1743,M3_mid,M3: 中距(150-210m)+SCADA+历史功率,1,LightGBM,1,10
439.97,286.19,0.96,1743,M3_mid,M3: 中距(150-210m)+SCADA+历史功率,1,XGBoost,1,10
637.78,431.99,0.9161,1743,M3_mid,M3: 中距(150-210m)+SCADA+历史功率,1,LightGBM,2,20
622.22,418.24,0.9201,1743,M3_mid,M3: 中距(150-210m)+SCADA+历史功率,1,XGBoost,2,20
769.85,530.93,0.8779,1743,M3_mid,M3: 中距(150-210m)+SCADA+历史功率,1,LightGBM,3,30
744.65,508.17,0.8857,1743,M3_mid,M3: 中距(150-210m)+SCADA+历史功率,1,XGBoost,3,30
977.57,701.45,0.8035,1743,M3_mid,M3: 中距(150-210m)+SCADA+历史功率,1,LightGBM,6,60
969.95,691.34,0.8065,1743,M3_mid,M3: 中距(150-210m)+SCADA+历史功率,1,XGBoost,6,60
446.63,290.57,0.9588,1743,M4_far,M4: 远距(240-300m)+SCADA+历史功率,1,LightGBM,1,10
436.99,285.42,0.9606,1743,M4_far,M4: 远距(240-300m)+SCADA+历史功率,1,XGBoost,1,10
627.79,417.72,0.9187,1743,M4_far,M4: 远距(240-300m)+SCADA+历史功率,1,LightGBM,2,20
613.84,412.12,0.9223,1743,M4_far,M4: 远距(240-300m)+SCADA+历史功率,1,XGBoost,2,20
756.79,520.28,0.882,1743,M4_far,M4: 远距(240-300m)+SCADA+历史功率,1,LightGBM,3,30
741.57,510.53,0.8867,1743,M4_far,M4: 远距(240-300m)+SCADA+历史功率,1,XGBoost,3,30
970.07,695.11,0.8065,1743,M4_far,M4: 远距(240-300m)+SCADA+历史功率,1,LightGBM,6,60
960.65,688.62,0.8102,1743,M4_far,M4: 远距(240-300m)+SCADA+历史功率,1,XGBoost,6,60
447.42,289.73,0.9587,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,LightGBM,1,10
438.18,287.26,0.9604,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,XGBoost,1,10
628.3,423.7,0.9186,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,LightGBM,2,20
617.73,413.18,0.9213,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,XGBoost,2,20
754.54,517.22,0.8827,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,LightGBM,3,30
751.76,513.31,0.8835,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,XGBoost,3,30
982.43,700.88,0.8015,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,LightGBM,6,60
962.92,686.77,0.8093,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,XGBoost,6,60
461.17,301.89,0.9561,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,LSTM,1,10
610.67,401.95,0.9231,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,LSTM,2,20
703.36,465.83,0.898,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,LSTM,3,30
900.59,622.46,0.8332,1743,M5_Lall+SCADA,M5: 全距离LiDAR+SCADA+历史功率,1,LSTM,6,60
453.85,293.98,0.9575,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear+历史功率,2,LightGBM,1,10
434.95,285.54,0.9609,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear+历史功率,2,XGBoost,1,10
623.35,419.0,0.9199,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear+历史功率,2,LightGBM,2,20
617.22,413.72,0.9214,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear+历史功率,2,XGBoost,2,20
748.38,513.14,0.8846,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear+历史功率,2,LightGBM,3,30
745.44,514.52,0.8855,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear+历史功率,2,XGBoost,3,30
971.65,701.17,0.8058,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear+历史功率,2,LightGBM,6,60
967.64,695.37,0.8074,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear+历史功率,2,XGBoost,6,60
445.51,289.84,0.959,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear+历史功率,2,LightGBM,1,10
436.04,288.15,0.9607,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear+历史功率,2,XGBoost,1,10
632.45,421.5,0.9175,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear+历史功率,2,LightGBM,2,20
622.19,419.68,0.9202,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear+历史功率,2,XGBoost,2,20
750.3,511.91,0.884,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear+历史功率,2,LightGBM,3,30
745.04,506.37,0.8856,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear+历史功率,2,XGBoost,3,30
977.78,690.71,0.8034,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear+历史功率,2,LightGBM,6,60
970.79,702.15,0.8062,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear+历史功率,2,XGBoost,6,60
454.59,295.53,0.9573,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI+历史功率,2,LightGBM,1,10
436.39,287.89,0.9607,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI+历史功率,2,XGBoost,1,10
641.15,424.8,0.9152,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI+历史功率,2,LightGBM,2,20
617.07,412.51,0.9215,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI+历史功率,2,XGBoost,2,20
778.58,528.7,0.8751,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI+历史功率,2,LightGBM,3,30
756.62,517.17,0.882,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI+历史功率,2,XGBoost,3,30
1016.21,721.06,0.7876,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI+历史功率,2,LightGBM,6,60
994.59,712.44,0.7966,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI+历史功率,2,XGBoost,6,60
448.58,290.56,0.9584,1743,E4_AllHWS+SCADA+AllMet,E4: 全HWS+SCADA+全气象+历史功率,2,LightGBM,1,10
429.97,281.1,0.9618,1743,E4_AllHWS+SCADA+AllMet,E4: 全HWS+SCADA+全气象+历史功率,2,XGBoost,1,10
637.98,423.09,0.9161,1743,E4_AllHWS+SCADA+AllMet,E4: 全HWS+SCADA+全气象+历史功率,2,LightGBM,2,20
625.99,419.32,0.9192,1743,E4_AllHWS+SCADA+AllMet,E4: 全HWS+SCADA+全气象+历史功率,2,XGBoost,2,20
759.07,517.27,0.8813,1743,E4_AllHWS+SCADA+AllMet,E4: 全HWS+SCADA+全气象+历史功率,2,LightGBM,3,30
744.55,507.15,0.8858,1743,E4_AllHWS+SCADA+AllMet,E4: 全HWS+SCADA+全气象+历史功率,2,XGBoost,3,30
992.91,707.84,0.7972,1743,E4_AllHWS+SCADA+AllMet,E4: 全HWS+SCADA+全气象+历史功率,2,LightGBM,6,60
976.88,706.43,0.8037,1743,E4_AllHWS+SCADA+AllMet,E4: 全HWS+SCADA+全气象+历史功率,2,XGBoost,6,60
449.09,294.96,0.9584,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,LightGBM,1,10
442.43,292.85,0.9596,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,XGBoost,1,10
640.52,434.29,0.9154,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,LightGBM,2,20
628.6,422.72,0.9185,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,XGBoost,2,20
756.52,518.24,0.8821,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,LightGBM,3,30
748.19,509.43,0.8846,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,XGBoost,3,30
988.19,707.01,0.7992,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,LightGBM,6,60
966.19,687.72,0.808,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,XGBoost,6,60
446.16,293.81,0.9589,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,LSTM,1,10
605.01,403.67,0.9245,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,LSTM,2,20
707.7,477.59,0.8968,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,LSTM,3,30
904.12,637.59,0.8319,1743,L3a_Lall_only,L3a: 全距离LiDAR HWS+历史功率（无SCADA）,3,LSTM,6,60
454.12,294.27,0.9574,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,LightGBM,1,10
435.02,287.43,0.9609,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,XGBoost,1,10
633.56,422.75,0.9172,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,LightGBM,2,20
621.98,419.49,0.9202,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,XGBoost,2,20
759.53,513.73,0.8811,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,LightGBM,3,30
749.4,513.49,0.8843,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,XGBoost,3,30
993.75,712.89,0.7969,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,LightGBM,6,60
973.35,697.87,0.8051,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,XGBoost,6,60
510.58,352.67,0.9462,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,LSTM,1,10
668.99,455.66,0.9077,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,LSTM,2,20
760.92,517.6,0.8807,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,LSTM,3,30
958.73,665.98,0.811,1743,L3b_Lall+met_only,L3b: 全距离LiDAR HWS+全气象+历史功率（无SCADA）,3,LSTM,6,60
447.09,290.41,0.9587,1743,N1_40m_only,N1: LiDAR 40m+历史功率（无SCADA）,1,LightGBM,1,10
437.3,287.14,0.9605,1743,N1_40m_only,N1: LiDAR 40m+历史功率（无SCADA）,1,XGBoost,1,10
639.12,430.2,0.9158,1743,N1_40m_only,N1: LiDAR 40m+历史功率（无SCADA）,1,LightGBM,2,20
623.42,418.44,0.9198,1743,N1_40m_only,N1: LiDAR 40m+历史功率（无SCADA）,1,XGBoost,2,20
755.25,518.34,0.8824,1743,N1_40m_only,N1: LiDAR 40m+历史功率（无SCADA）,1,LightGBM,3,30
746.99,515.81,0.885,1743,N1_40m_only,N1: LiDAR 40m+历史功率（无SCADA）,1,XGBoost,3,30
979.83,695.73,0.8025,1743,N1_40m_only,N1: LiDAR 40m+历史功率（无SCADA）,1,LightGBM,6,60
958.56,687.97,0.811,1743,N1_40m_only,N1: LiDAR 40m+历史功率（无SCADA）,1,XGBoost,6,60
447.41,290.93,0.9587,1743,N1_60m_only,N1: LiDAR 60m+历史功率（无SCADA）,1,LightGBM,1,10
